"buyerDelay","sellerDelay","gap","successes","deviation","variance"
0,71,14,5,190396.4,28768.8
0,71,13,5,259800.6,34109
0,72,6,5,434063.2,33672.8
0,72,8,5,231979,42616.6
0,72,5,5,924624.6,67154.2
0,72,11,5,129239,33455.8
0,72,10,5,355057.4,50691.6
0,72,9,5,675372.2,52322.6
0,72,12,5,291391.2,34393.8
0,72,7,5,1180560.8,56407.8
0,72,13,5,566090.8,43017.8
0,73,5,5,955678.2,44263.6
0,72,14,5,631396.8,36413.2
0,73,7,5,952284.8,52096.2
0,73,9,5,377042.2,36958.4
0,73,6,5,1088427.2,60335.8
0,73,8,5,626404.6,50427.4
0,73,11,5,296340.2,41026.2
0,73,10,5,754706.8,51948
0,73,12,5,418361,45790.4
0,73,13,5,350339.8,42976.6
0,73,14,5,327522.8,34538.8
0,74,6,5,605321,58891
0,74,7,5,715278.4,42135.2
0,74,8,5,448307,45220.4
0,74,5,5,1158159.2,49754
0,74,9,5,454653.2,37393.4
0,74,14,5,377074.4,26361.2
0,74,12,5,283382.2,33121.6
0,74,10,5,693428.8,38990.4
0,74,13,5,654886.6,34489
0,74,11,5,516152.6,47763
0,75,6,5,191272.6,44956
0,75,7,5,438515.2,51772.2
0,75,10,5,290014.2,35357.8
0,75,8,5,510666.8,47878.8
0,75,5,5,959427,53205.8
0,75,9,5,600007.6,43856.6
0,75,14,5,242087.8,28945
0,75,12,5,535180.4,27319.6
0,76,5,5,327853.8,42344
0,75,13,5,439546,31446.4
0,75,11,5,735791.8,37417.6
0,76,7,5,178428.4,46211
0,76,8,5,305764.6,45034.2
0,76,6,5,591040.4,62649.2
0,76,12,5,410489.4,24869.8
0,76,11,5,204168.4,40785.4
0,76,10,5,506873.4,46114.2
0,76,9,5,735974.4,52786.6
0,76,13,5,578761.2,29845.2
0,76,14,5,511730.6,30697.6
0,77,9,5,112356.4,29289.6
0,77,5,5,717982,52428.4
0,77,6,5,708057.4,58544.2
0,77,7,5,366159.4,49255.4
0,77,12,5,119557,37122.4
0,77,10,5,408701.6,40712.6
0,77,11,5,488254.8,39563.2
0,77,8,5,979302.6,47969.4
0,77,13,5,517227.4,43166.2
0,78,6,5,583280.8,49561.4
0,77,14,5,766888.8,39085.2
0,78,5,5,755613.4,60397.8
0,78,8,5,363932.2,45965.4
0,78,7,5,528169.4,58406.4
0,78,10,5,237883.2,26796.2
0,78,11,5,278589,28922.8
0,78,12,5,452851.4,31289.6
0,78,9,5,644889.6,50279.2
